sku,name,category,size,material,pressure_rating,unit,list_price,stock_qty,lead_time_days
EL-1026,"90 Deg Elbow 1/2"" SS316 Socket Weld",Fittings,"1/2""",SS316,3000 lb,EA,26,50,7
EL-1027,"90 Deg Elbow 1/2"" PVC Socket Weld",Fittings,"1/2""",PVC,3000 lb,EA,36,50,0
EL-1028,"90 Deg Elbow 1"" SS304 Socket Weld",Fittings,"1""",SS304,3000 lb,EA,33,200,7
EL-1029,"90 Deg Elbow 1"" SS316 Socket Weld",Fittings,"1""",SS316,3000 lb,EA,38,800,3
EL-1030,"90 Deg Elbow 1"" PVC Socket Weld",Fittings,"1""",PVC,3000 lb,EA,48,800,3
EL-1031,"90 Deg Elbow 2"" SS304 Socket Weld",Fittings,"2""",SS304,3000 lb,EA,45,0,0
EL-1032,"90 Deg Elbow 2"" SS316 Socket Weld",Fittings,"2""",SS316,3000 lb,EA,50,800,0
EL-1033,"90 Deg Elbow 2"" PVC Socket Weld",Fittings,"2""",PVC,3000 lb,EA,60,200,0
TE-1034,"Equal Tee 1/2"" SS316 Threaded",Fittings,"1/2""",SS316,3000 lb,EA,35,600,3
TE-1035,"Equal Tee 1/2"" CS Threaded",Fittings,"1/2""",CS,3000 lb,EA,23,0,14
TE-1036,"Equal Tee 1"" SS316 Threaded",Fittings,"1""",SS316,3000 lb,EA,51,0,14
TE-1037,"Equal Tee 1"" CS Threaded",Fittings,"1""",CS,3000 lb,EA,39,150,3
TE-1038,"Equal Tee 2"" SS316 Threaded",Fittings,"2""",SS316,3000 lb,EA,67,150,14
TE-1039,"Equal Tee 2"" CS Threaded",Fittings,"2""",CS,3000 lb,EA,55,600,14
BR-1040,Deep Groove Ball Bearing 6203-2RS,Bearings,6203,Chrome Steel,-,EA,10.4,300,0
BR-1041,Deep Groove Ball Bearing 6203-ZZ,Bearings,6203,Chrome Steel,-,EA,7.4,0,5
BR-1042,Deep Groove Ball Bearing 6203-Open,Bearings,6203,Chrome Steel,-,EA,7.4,300,20
BR-1043,Deep Groove Ball Bearing 6204-2RS,Bearings,6204,Chrome Steel,-,EA,11.2,0,0
BR-1044,Deep Groove Ball Bearing 6204-ZZ,Bearings,6204,Chrome Steel,-,EA,8.2,90,20
BR-1045,Deep Groove Ball Bearing 6204-Open,Bearings,6204,Chrome Steel,-,EA,8.2,300,5
BR-1046,Deep Groove Ball Bearing 6205-2RS,Bearings,6205,Chrome Steel,-,EA,12.0,300,20
BR-1047,Deep Groove Ball Bearing 6205-ZZ,Bearings,6205,Chrome Steel,-,EA,9.0,90,0
BR-1048,Deep Groove Ball Bearing 6205-Open,Bearings,6205,Chrome Steel,-,EA,9.0,300,5
BR-1049,Deep Groove Ball Bearing 6206-2RS,Bearings,6206,Chrome Steel,-,EA,12.8,20,20
BR-1050,Deep Groove Ball Bearing 6206-ZZ,Bearings,6206,Chrome Steel,-,EA,9.8,0,5
BR-1051,Deep Groove Ball Bearing 6206-Open,Bearings,6206,Chrome Steel,-,EA,9.8,0,0
BR-1052,Deep Groove Ball Bearing 6305-2RS,Bearings,6305,Chrome Steel,-,EA,12.0,90,0
BR-1053,Deep Groove Ball Bearing 6305-ZZ,Bearings,6305,Chrome Steel,-,EA,9.0,20,5
BR-1054,Deep Groove Ball Bearing 6305-Open,Bearings,6305,Chrome Steel,-,EA,9.0,300,5
HS-1055,"Hydraulic Hose 1/2"" 2-Wire Braid SAE 100R2",Hose,"1/2""",Rubber/Steel,3500 PSI,M,23,0,0
HS-1056,"Hydraulic Hose 3/4"" 2-Wire Braid SAE 100R2",Hose,"3/4""",Rubber/Steel,3500 PSI,M,30,60,7
HS-1057,"Hydraulic Hose 1"" 2-Wire Braid SAE 100R2",Hose,"1""",Rubber/Steel,3500 PSI,M,37,250,7
HS-1058,"Hydraulic Hose 2"" 2-Wire Braid SAE 100R2",Hose,"2""",Rubber/Steel,3500 PSI,M,51,0,7
FS-1059,Hex Head Bolt M8x50 SS316 DIN 933,Fasteners,M8,SS316,8.8,EA,2.26,2000,10
FS-1060,Hex Head Bolt M8x50 Zinc Plated DIN 933,Fasteners,M8,Zinc Plated,8.8,EA,1.36,5000,3
FS-1061,Hex Head Bolt M10x50 SS316 DIN 933,Fasteners,M10,SS316,8.8,EA,2.5,5000,0
FS-1062,Hex Head Bolt M10x50 Zinc Plated DIN 933,Fasteners,M10,Zinc Plated,8.8,EA,1.6,500,0
FS-1063,Hex Head Bolt M12x50 SS316 DIN 933,Fasteners,M12,SS316,8.8,EA,2.74,500,0
FS-1064,Hex Head Bolt M12x50 Zinc Plated DIN 933,Fasteners,M12,Zinc Plated,8.8,EA,1.84,500,10
FS-1065,Hex Head Bolt M16x50 SS316 DIN 933,Fasteners,M16,SS316,8.8,EA,3.22,500,0
FS-1066,Hex Head Bolt M16x50 Zinc Plated DIN 933,Fasteners,M16,Zinc Plated,8.8,EA,2.32,5000,10
GK-1067,"Spiral Wound Gasket 1"" SS316/Graphite Class 150",Gaskets,"1""",SS316,Class 150,EA,26,0,5
GK-1068,"Spiral Wound Gasket 2"" SS316/Graphite Class 150",Gaskets,"2""",SS316,Class 150,EA,36,25,0
GK-1069,"Spiral Wound Gasket 3"" SS316/Graphite Class 150",Gaskets,"3""",SS316,Class 150,EA,41,0,5
GK-1070,"Spiral Wound Gasket 4"" SS316/Graphite Class 150",Gaskets,"4""",SS316,Class 150,EA,46,120,5
